#filetype,dla
Protocol,Device Type,Datapoint,"",Monitored,Polled,Poll Interval,Publish Interval,Expected Update Interval,Publish Min Delta Time,Publish Min Delta Value,Initial Value,Log Interval 1,Log Interval 2,Log Interval 3,Log Retention 1,Log Retention 2,Log Retention 3,Log Min Delta Time,Log Min Delta Value,Alarm Name,High Warning,Low Warning,High Error,Low Error,Visible,Presets,Localization,Logged
modbus,ADAM-4150,DI/0/DI_0,"",Yes,Yes,2.0,,,,any,,0.0,0.0,0.0,14,60,730,,,,,,,,Yes,,null,No
modbus,ADAM-4150,DI/0/DI_1,"",Yes,Yes,2.0,,,,any,,0.0,0.0,0.0,14,60,730,,,,,,,,Yes,,null,No
modbus,ADAM-4150,DI/0/DI_2,"",Yes,Yes,2.0,,,,any,,0.0,0.0,0.0,14,60,730,,,,,,,,Yes,,null,No
modbus,ADAM-4150,DI/0/DI_3,"",Yes,Yes,2.0,,,,any,,0.0,0.0,0.0,14,60,730,,,,,,,,Yes,,null,No
modbus,ADAM-4150,DI/0/DI_4,"",Yes,Yes,2.0,,,,any,,0.0,0.0,0.0,14,60,730,,,,,,,,Yes,,null,No
modbus,ADAM-4150,DI/0/DI_5,"",Yes,Yes,2.0,,,,any,,0.0,0.0,0.0,14,60,730,,,,,,,,Yes,,null,No
modbus,ADAM-4150,DI/0/DI_6,"",Yes,Yes,2.0,,,,any,,0.0,0.0,0.0,14,60,730,,,,,,,,Yes,,null,No
modbus,ADAM-4150,DO/0/DO_0,"",Yes,Yes,2.0,,,,any,,0.0,0.0,0.0,14,60,730,,,,,,,,Yes,,null,No
modbus,ADAM-4150,DO/0/DO_1,"",Yes,Yes,2.0,,,,any,,0.0,0.0,0.0,14,60,730,,,,,,,,Yes,,null,No
modbus,ADAM-4150,DO/0/DO_2,"",Yes,Yes,2.0,,,,any,,0.0,0.0,0.0,14,60,730,,,,,,,,Yes,,null,No
modbus,ADAM-4150,DO/0/DO_3,"",Yes,Yes,2.0,,,,any,,0.0,0.0,0.0,14,60,730,,,,,,,,Yes,,null,No
modbus,ADAM-4150,DO/0/DO_4,"",Yes,Yes,2.0,,,,any,,0.0,0.0,0.0,14,60,730,,,,,,,,Yes,,null,No
modbus,ADAM-4150,DO/0/DO_5,"",Yes,Yes,2.0,,,,any,,0.0,0.0,0.0,14,60,730,,,,,,,,Yes,,null,No
modbus,ADAM-4150,DO/0/DO_6,"",Yes,Yes,2.0,,,,any,,0.0,0.0,0.0,14,60,730,,,,,,,,Yes,,null,No
modbus,ADAM-4150,DO/0/DO_7,"",Yes,Yes,2.0,,,,any,,0.0,0.0,0.0,14,60,730,,,,,,,,Yes,,null,No
modbus,ADAM-4150,Dev/0/ModuleName-1,"",,,,,,,,,,,,,,,,,,,,,,,,,
