#filetype,dla
Protocol,Device Type,Datapoint,Monitored,Polled,Poll Interval,Publish Interval,Expected Update Interval,Publish Min Delta Time,Publish Min Delta Value,Initial Value,Log Interval 1,Log Interval 2,Log Interval 3,Log Retention 1,Log Retention 2,Log Retention 3,Log Min Delta Time,Log Min Delta Value,Alarm Name,High Warning,Low Warning,High Error,Low Error,Visible,Presets,Localization,Logged
lon,VAV_sim-1,NodeObject/0/nviRequest,,,,,,,,,,,,,,,,,,,,,,,,,
lon,VAV_sim-1,NodeObject/0/nvoFileDirectory,,,,,,,,,,,,,,,,,,,,,,,,,
lon,VAV_sim-1,NodeObject/0/nvoStatus,Yes,No,,,,,any,,0.0,0.0,0.0,14,60,730,,,,,,,,Yes,,null,No
lon,VAV_sim-1,sccVAV/0/nviAirflow,,,,,,,,,,,,,,,,,,,,,,,,,
lon,VAV_sim-1,sccVAV/0/nviApplicMode,,,,,,,,,,,,,,,,,,,,,,,,,
lon,VAV_sim-1,sccVAV/0/nviOccSensor,,,,,,,,,,,,,,,,,,,,,,,,,
lon,VAV_sim-1,sccVAV/0/nviOutdoorTemp,,,,,,,,,,,,,,,,,,,,,,,,,
lon,VAV_sim-1,sccVAV/0/nviSetptOffset,,,,,,,,,,,,,,,,,,,,,,,,,
lon,VAV_sim-1,sccVAV/0/nviSpaceTemp,,,,,,,,,,,,,,,,,,,,,,,,,
lon,VAV_sim-1,sccVAV/0/nvoAirflow,Yes,No,,,,,any,,0.0,0.0,0.0,14,60,730,,,,,,,,Yes,,null,No
lon,VAV_sim-1,sccVAV/0/nvoEffectOccup,Yes,No,,,,,any,,0.0,0.0,0.0,14,60,730,,,,,,,,Yes,,null,No
lon,VAV_sim-1,sccVAV/0/nvoEffectSetpt,Yes,No,,,,,any,,0.0,0.0,0.0,14,60,730,,,,,,,,Yes,,null,No
lon,VAV_sim-1,sccVAV/0/nvoSpaceTemp,Yes,No,,,,,any,,0.0,0.0,0.0,14,60,730,,,,,,,,Yes,,null,No
lon,VAV_sim-1,sccVAV/0/nvoUnitStatus,Yes,No,,,,,any,,0.0,0.0,0.0,14,60,730,,,,,,,,Yes,,null,No
lon,VAV_sim-1,sccVAV/0/nciMaxFlow,,,,,,,,,,,,,,,,,,,,,,,,,
lon,VAV_sim-1,sccVAV/0/nciMinFlow,,,,,,,,,,,,,,,,,,,,,,,,,
lon,VAV_sim-1,sccVAV/0/nciMinFlowStdby,,,,,,,,,,,,,,,,,,,,,,,,,
lon,VAV_sim-1,sccVAV/0/nciRcvHrtBt,,,,,,,,,,,,,,,,,,,,,,,,,
lon,VAV_sim-1,sccVAV/0/nciSetpoints,,,,,,,,,,,,,,,,,,,,,,,,,
lon,VAV_sim-1,sccVAV/0/nciSndHrtBt,,,,,,,,,,,,,,,,,,,,,,,,,
lon,VAV_sim-1,device/0/nviDispF,,,,,,,,,,,,,,,,,,,,,,,,,
lon,VAV_sim-1,device/0/nvoVersion,,,,,,,,,,,,,,,,,,,,,,,,,
